mnemonic,family,eew_bits,width,mop,nf,sumop,vm_constraint,decode,execute,decode_table_test,unit_test,integration_test,notes
vsseg8e32.v,Segment unit-stride,32,0b110,0b00,0b111,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg8e64.v,Segment unit-stride,64,0b111,0b00,0b111,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsseg8e8.v,Segment unit-stride,8,0b000,0b00,0b111,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsse16.v,Strided,16,0b101,0b10,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsse32.v,Strided,32,0b110,0b10,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsse64.v,Strided,64,0b111,0b10,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vsse8.v,Strided,8,0b000,0b10,0b000,vs2/rs2,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vse16.v,Unit-stride,16,0b101,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vse32.v,Unit-stride,32,0b110,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vse64.v,Unit-stride,64,0b111,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vse8.v,Unit-stride,8,0b000,0b00,0b000,0b00000,variable,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vs1r.v,Whole register,8,0b000,0b00,0b000,0b01000,1,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vs2r.v,Whole register,8,0b000,0b00,0b001,0b01000,1,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vs4r.v,Whole register,8,0b000,0b00,0b011,0b01000,1,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
vs8r.v,Whole register,8,0b000,0b00,0b111,0b01000,1,yes,yes,tb_vcore_vst_decode_table,tb_vcore_vst_ref,,
